molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5441851,active,6.139661993429006,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn[nH]c3)cc12)c1ccc2c(c1)OCCO2,390.44700000000023,3.9284000000000017,3.0,6.0
CHEMBL5442054,active,7.221848749616356,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn[nH]c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,436.5410000000003,3.877100000000002,3.0,6.0
CHEMBL5441689,active,7.070581074285707,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,463.5670000000003,3.526200000000002,3.0,8.0
CHEMBL5441716,active,7.026872146400302,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N4CC(O)C4)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,519.6310000000003,3.124900000000002,3.0,9.0
CHEMBL5441987,active,6.617982957425132,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc4c(c3)nnn4C)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,502.6040000000003,3.830700000000003,2.0,9.0
CHEMBL5441813,active,7.292429823902063,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc4n3CCC4)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,476.60600000000034,4.296700000000003,2.0,7.0
CHEMBL5441724,active,6.106515653781514,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(C(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,472.5490000000003,4.302100000000003,2.0,7.0
CHEMBL5441780,active,6.047207556955908,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(OCCN(C)C)c3)cc12)c1ccc2c(c1)OCCO2,488.5920000000004,4.540700000000004,2.0,8.0
CHEMBL5441426,active,7.167491087293763,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(S(C)(=O)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,525.6560000000003,3.9525000000000032,2.0,8.0
CHEMBL5441696,active,6.320572103387881,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncnc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,448.5520000000003,3.9440000000000026,2.0,7.0
CHEMBL5441589,inactive,4.5739118531639456,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(-c4ccc(F)cc4)c3)cc12)c1ccc2c(c1)OCCO2,484.5350000000003,5.5301000000000045,2.0,7.0
CHEMBL5442015,active,6.063486257521107,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C(C)C)c3)cc12)c1ccc2c(c1)OCCO2,432.5280000000003,4.982700000000004,2.0,7.0
CHEMBL5441620,active,6.210419287835575,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)OCCO2,404.4740000000003,3.9388000000000023,2.0,7.0
CHEMBL5441420,active,7.468521082957745,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,450.5680000000003,3.887500000000003,2.0,7.0
CHEMBL5441982,active,7.327902142064283,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCO2,452.5400000000003,3.333700000000002,2.0,8.0
CHEMBL5441397,active,7.1938200260161125,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)NCC2,451.55600000000027,3.0020000000000007,3.0,7.0
CHEMBL5441652,active,6.671620396561262,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,442.48300000000023,3.3701800000000013,3.0,8.0
CHEMBL5441416,active,6.282329496997738,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,429.48400000000026,3.8104800000000028,2.0,8.0
CHEMBL5441435,inactive,4.953212282955069,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,475.5780000000003,3.7591800000000024,2.0,8.0
CHEMBL5441434,inactive,4.361530711066788,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,443.47100000000023,2.76518,3.0,9.0
CHEMBL5441414,active,7.167491087293763,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,430.47200000000026,3.2054800000000014,2.0,9.0
CHEMBL5441440,active,6.300162274132754,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)n3)cc12)c1ccc2c(c1)OCCO2,405.4620000000003,3.333800000000002,2.0,8.0
CHEMBL5441634,active,6.000869458712629,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C4CC4)c3)cc12)c1ccc2c(c1)OCCO2,430.5120000000003,4.7367000000000035,2.0,7.0
CHEMBL5441432,active,6.501689446210399,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,475.55300000000034,3.490000000000002,2.0,8.0
CHEMBL5441433,active,7.481486060122112,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(=O)N(C)C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,521.6470000000003,3.4387000000000016,2.0,8.0
CHEMBL5441823,active,6.6020599913279625,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)NC(=O)CO2,460.4980000000003,2.4467999999999996,4.0,8.0
